"SurveyYear","Min_Tot_Density","Mean_Tot_Density","Max_Tot_Density","Min_BR_Density","Mean_BR_Density","Max_BR_Density","Min_Absent_Density","Mean_Absent_Density","Max_Absent_Density"
2006,60,190,320,0,10,20,40,180,320
2007,20,549.090909090909,1580,0,16.3636363636364,140,0,532.727272727273,1560
2008,0,759.090909090909,2640,0,15.4545454545455,100,0,743.636363636364,2640
2009,240,1262.22222222222,2720,0,20,80,240,1242.22222222222,2680
2010,0,756.190476190476,2280,0,31.4285714285714,220,0,724.761904761905,2240
2011,0,997.142857142857,2380,0,24.2857142857143,120,0,972.857142857143,2380
2012,560,1597.14285714286,3420,0,34.2857142857143,140,560,1562.85714285714,3400
2013,0,814.545454545455,4420,0,17.2727272727273,120,0,797.272727272727,4420
2014,360,1172,1920,0,28,60,360,1144,1920
2015,80,786.666666666667,2000,0,15,60,80,771.666666666667,1980
2016,100,980,3400,0,25,60,100,955,3400
2017,80,927.692307692308,1880,0,20,60,60,907.692307692308,1860
2018,320,1063.33333333333,1940,0,13.3333333333333,40,320,1050,1920
2019,80,786,1800,0,12,60,60,774,1740
2020,440,1176,1740,0,24,60,440,1152,1700
2021,80,910,3080,0,24.4444444444444,60,60,885.555555555556,3080
2022,380,932,1660,0,32,60,320,900,1660
2023,280,912,2080,20,48,80,260,864,2000
2024,20,636.666666666667,1300,0,33.3333333333333,80,20,603.333333333333,1220
